************ Start ************
dataset: text_classification , method: LSTM text classification , setting: train test already split , result: saver , evaluation: accuracy
loading data...
method running...
--start training...
RNN_model(
  (encoder): Embedding(46159, 50, padding_idx=0)
  (encoder_dropout): Dropout(p=0.6, inplace=False)
  (rnn): LSTM(50, 128, num_layers=2, batch_first=True, dropout=0.5, bidirectional=True)
  (batchnorm): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Epoch[3] Batch[30/195] Loss[0.3743] Loss-Avg[0.4131] Acc[83.594] Acc-Avg[81.401]
Epoch[3] Batch[40/195] Loss[0.2932] Loss-Avg[0.4084] Acc[88.281] Acc-Avg[81.536]
Epoch[3] Batch[50/195] Loss[0.3377] Loss-Avg[0.4037] Acc[85.938] Acc-Avg[81.725]
Epoch[3] Batch[60/195] Loss[0.3400] Loss-Avg[0.4002] Acc[87.500] Acc-Avg[81.775]
Epoch[3] Batch[70/195] Loss[0.3630] Loss-Avg[0.3970] Acc[86.719] Acc-Avg[81.954]
Epoch[3] Batch[80/195] Loss[0.3379] Loss-Avg[0.3937] Acc[86.719] Acc-Avg[82.234]
Epoch[3] Batch[90/195] Loss[0.3934] Loss-Avg[0.3895] Acc[79.688] Acc-Avg[82.366]
Epoch[3] Batch[100/195] Loss[0.2666] Loss-Avg[0.3844] Acc[89.844] Acc-Avg[82.588]
Epoch[3] Batch[110/195] Loss[0.3015] Loss-Avg[0.3835] Acc[88.281] Acc-Avg[82.672]
Epoch[3] Batch[120/195] Loss[0.3243] Loss-Avg[0.3797] Acc[87.500] Acc-Avg[82.987]
Epoch[3] Batch[130/195] Loss[0.3798] Loss-Avg[0.3775] Acc[82.031] Acc-Avg[83.099]
Epoch[3] Batch[140/195] Loss[0.3418] Loss-Avg[0.3748] Acc[85.938] Acc-Avg[83.283]
Epoch[3] Batch[150/195] Loss[0.2257] Loss-Avg[0.3723] Acc[91.406] Acc-Avg[83.366]
Epoch[3] Batch[160/195] Loss[0.3605] Loss-Avg[0.3696] Acc[85.156] Acc-Avg[83.521]
Epoch[3] Batch[170/195] Loss[0.3472] Loss-Avg[0.3668] Acc[83.594] Acc-Avg[83.653]
Epoch[3] Batch[180/195] Loss[0.3678] Loss-Avg[0.3650] Acc[85.156] Acc-Avg[83.775]
Epoch[3] Batch[190/195] Loss[0.2881] Loss-Avg[0.3631] Acc[88.281] Acc-Avg[83.884]
Test Acc[88.332]
Epoch[4] Batch[10/195] Loss[0.2506] Loss-Avg[0.2610] Acc[89.062] Acc-Avg[90.128]
Epoch[4] Batch[20/195] Loss[0.1905] Loss-Avg[0.2594] Acc[93.750] Acc-Avg[89.993]
Epoch[4] Batch[30/195] Loss[0.2770] Loss-Avg[0.2605] Acc[88.281] Acc-Avg[89.667]
Epoch[4] Batch[40/195] Loss[0.2910] Loss-Avg[0.2538] Acc[89.062] Acc-Avg[90.072]
Epoch[4] Batch[50/195] Loss[0.3340] Loss-Avg[0.2554] Acc[86.719] Acc-Avg[89.890]
Epoch[4] Batch[60/195] Loss[0.2791] Loss-Avg[0.2629] Acc[87.500] Acc-Avg[89.562]
Epoch[4] Batch[70/195] Loss[0.3250] Loss-Avg[0.2630] Acc[85.938] Acc-Avg[89.525]
Epoch[4] Batch[80/195] Loss[0.2928] Loss-Avg[0.2641] Acc[86.719] Acc-Avg[89.381]
Epoch[4] Batch[90/195] Loss[0.2537] Loss-Avg[0.2687] Acc[89.062] Acc-Avg[89.105]
Epoch[4] Batch[100/195] Loss[0.2488] Loss-Avg[0.2677] Acc[88.281] Acc-Avg[89.101]
Epoch[4] Batch[110/195] Loss[0.2237] Loss-Avg[0.2693] Acc[89.062] Acc-Avg[88.964]
Epoch[4] Batch[120/195] Loss[0.2716] Loss-Avg[0.2676] Acc[89.062] Acc-Avg[89.121]
Epoch[4] Batch[130/195] Loss[0.3104] Loss-Avg[0.2686] Acc[86.719] Acc-Avg[89.080]
Epoch[4] Batch[140/195] Loss[0.2098] Loss-Avg[0.2697] Acc[93.750] Acc-Avg[89.013]
Epoch[4] Batch[150/195] Loss[0.3744] Loss-Avg[0.2699] Acc[83.594] Acc-Avg[88.985]
Epoch[4] Batch[160/195] Loss[0.3237] Loss-Avg[0.2701] Acc[86.719] Acc-Avg[88.990]
Epoch[4] Batch[170/195] Loss[0.2250] Loss-Avg[0.2697] Acc[92.969] Acc-Avg[89.021]
Epoch[4] Batch[180/195] Loss[0.3176] Loss-Avg[0.2693] Acc[88.281] Acc-Avg[89.015]
Epoch[4] Batch[190/195] Loss[0.1991] Loss-Avg[0.2697] Acc[92.969] Acc-Avg[88.993]
Test Acc[95.048]
Epoch[5] Batch[10/195] Loss[0.1239] Loss-Avg[0.1724] Acc[96.094] Acc-Avg[93.750]
Epoch[5] Batch[20/195] Loss[0.2688] Loss-Avg[0.1931] Acc[90.625] Acc-Avg[92.894]
Epoch[5] Batch[30/195] Loss[0.3070] Loss-Avg[0.1912] Acc[87.500] Acc-Avg[93.019]
Epoch[5] Batch[40/195] Loss[0.2707] Loss-Avg[0.1885] Acc[92.188] Acc-Avg[93.026]
Epoch[5] Batch[50/195] Loss[0.2502] Loss-Avg[0.1913] Acc[91.406] Acc-Avg[92.831]
Epoch[5] Batch[60/195] Loss[0.1391] Loss-Avg[0.1948] Acc[95.312] Acc-Avg[92.815]
Epoch[5] Batch[70/195] Loss[0.2203] Loss-Avg[0.1955] Acc[92.969] Acc-Avg[92.738]
Epoch[5] Batch[80/195] Loss[0.2297] Loss-Avg[0.1965] Acc[89.844] Acc-Avg[92.650]
Epoch[5] Batch[90/195] Loss[0.2718] Loss-Avg[0.1991] Acc[90.625] Acc-Avg[92.497]
Epoch[5] Batch[100/195] Loss[0.2024] Loss-Avg[0.2004] Acc[89.844] Acc-Avg[92.481]
Epoch[5] Batch[110/195] Loss[0.2403] Loss-Avg[0.2003] Acc[90.625] Acc-Avg[92.483]
Epoch[5] Batch[120/195] Loss[0.1650] Loss-Avg[0.2041] Acc[95.312] Acc-Avg[92.317]
Epoch[5] Batch[130/195] Loss[0.2681] Loss-Avg[0.2060] Acc[85.938] Acc-Avg[92.217]
Epoch[5] Batch[140/195] Loss[0.2744] Loss-Avg[0.2077] Acc[89.062] Acc-Avg[92.088]
Epoch[5] Batch[150/195] Loss[0.2353] Loss-Avg[0.2113] Acc[92.188] Acc-Avg[91.924]
Epoch[5] Batch[160/195] Loss[0.2481] Loss-Avg[0.2123] Acc[88.281] Acc-Avg[91.775]
Epoch[5] Batch[170/195] Loss[0.3137] Loss-Avg[0.2128] Acc[85.156] Acc-Avg[91.712]
Epoch[5] Batch[180/195] Loss[0.2359] Loss-Avg[0.2139] Acc[89.062] Acc-Avg[91.631]
Epoch[5] Batch[190/195] Loss[0.2189] Loss-Avg[0.2161] Acc[89.844] Acc-Avg[91.480]
Test Acc[95.524]
Epoch[6] Batch[10/195] Loss[0.1089] Loss-Avg[0.1521] Acc[96.875] Acc-Avg[95.099]
Epoch[6] Batch[20/195] Loss[0.1216] Loss-Avg[0.1569] Acc[96.094] Acc-Avg[94.754]
Epoch[6] Batch[30/195] Loss[0.1775] Loss-Avg[0.1595] Acc[94.531] Acc-Avg[94.330]
Epoch[6] Batch[40/195] Loss[0.2176] Loss-Avg[0.1574] Acc[89.844] Acc-Avg[94.188]
Epoch[6] Batch[50/195] Loss[0.0998] Loss-Avg[0.1561] Acc[96.875] Acc-Avg[94.164]
Epoch[6] Batch[60/195] Loss[0.1528] Loss-Avg[0.1564] Acc[94.531] Acc-Avg[94.224]
Epoch[6] Batch[70/195] Loss[0.2544] Loss-Avg[0.1573] Acc[90.625] Acc-Avg[94.212]
Epoch[6] Batch[80/195] Loss[0.1661] Loss-Avg[0.1568] Acc[93.750] Acc-Avg[94.184]
Epoch[6] Batch[90/195] Loss[0.2311] Loss-Avg[0.1610] Acc[91.406] Acc-Avg[93.973]
Epoch[6] Batch[100/195] Loss[0.2347] Loss-Avg[0.1652] Acc[90.625] Acc-Avg[93.827]
Epoch[6] Batch[110/195] Loss[0.2278] Loss-Avg[0.1671] Acc[92.188] Acc-Avg[93.785]
Epoch[6] Batch[120/195] Loss[0.1593] Loss-Avg[0.1701] Acc[95.312] Acc-Avg[93.692]
Epoch[6] Batch[130/195] Loss[0.2036] Loss-Avg[0.1722] Acc[91.406] Acc-Avg[93.529]
Epoch[6] Batch[140/195] Loss[0.2448] Loss-Avg[0.1734] Acc[87.500] Acc-Avg[93.429]
Epoch[6] Batch[150/195] Loss[0.1905] Loss-Avg[0.1764] Acc[92.969] Acc-Avg[93.279]
Epoch[6] Batch[160/195] Loss[0.1593] Loss-Avg[0.1787] Acc[93.750] Acc-Avg[93.163]
Epoch[6] Batch[170/195] Loss[0.2407] Loss-Avg[0.1814] Acc[89.062] Acc-Avg[93.046]
Epoch[6] Batch[180/195] Loss[0.2859] Loss-Avg[0.1847] Acc[87.500] Acc-Avg[92.852]
Epoch[6] Batch[190/195] Loss[0.1585] Loss-Avg[0.1869] Acc[92.969] Acc-Avg[92.707]
Test Acc[95.688]
Epoch[7] Batch[10/195] Loss[0.1069] Loss-Avg[0.1220] Acc[96.875] Acc-Avg[96.307]
Epoch[7] Batch[20/195] Loss[0.1443] Loss-Avg[0.1158] Acc[94.531] Acc-Avg[96.243]
Epoch[7] Batch[30/195] Loss[0.1178] Loss-Avg[0.1168] Acc[94.531] Acc-Avg[95.943]
Epoch[7] Batch[40/195] Loss[0.0875] Loss-Avg[0.1197] Acc[96.875] Acc-Avg[95.713]
Epoch[7] Batch[50/195] Loss[0.0589] Loss-Avg[0.1233] Acc[99.219] Acc-Avg[95.695]
Epoch[7] Batch[60/195] Loss[0.1110] Loss-Avg[0.1276] Acc[95.312] Acc-Avg[95.453]
Epoch[7] Batch[70/195] Loss[0.1169] Loss-Avg[0.1301] Acc[94.531] Acc-Avg[95.312]
Epoch[7] Batch[80/195] Loss[0.1105] Loss-Avg[0.1334] Acc[95.312] Acc-Avg[95.120]
Epoch[7] Batch[90/195] Loss[0.1026] Loss-Avg[0.1375] Acc[95.312] Acc-Avg[94.900]
Epoch[7] Batch[100/195] Loss[0.1839] Loss-Avg[0.1411] Acc[90.625] Acc-Avg[94.748]
Epoch[7] Batch[110/195] Loss[0.2180] Loss-Avg[0.1467] Acc[92.188] Acc-Avg[94.531]
Epoch[7] Batch[120/195] Loss[0.1601] Loss-Avg[0.1474] Acc[92.188] Acc-Avg[94.434]
Epoch[7] Batch[130/195] Loss[0.2779] Loss-Avg[0.1522] Acc[89.844] Acc-Avg[94.227]
Epoch[7] Batch[140/195] Loss[0.1710] Loss-Avg[0.1543] Acc[94.531] Acc-Avg[94.127]
Epoch[7] Batch[150/195] Loss[0.1985] Loss-Avg[0.1562] Acc[91.406] Acc-Avg[93.972]
Epoch[7] Batch[160/195] Loss[0.2065] Loss-Avg[0.1582] Acc[90.625] Acc-Avg[93.832]
Epoch[7] Batch[170/195] Loss[0.1814] Loss-Avg[0.1610] Acc[94.531] Acc-Avg[93.700]
Epoch[7] Batch[180/195] Loss[0.1703] Loss-Avg[0.1631] Acc[94.531] Acc-Avg[93.603]
Epoch[7] Batch[190/195] Loss[0.2679] Loss-Avg[0.1654] Acc[89.844] Acc-Avg[93.484]
Test Acc[96.928]
Epoch[8] Batch[10/195] Loss[0.1232] Loss-Avg[0.1110] Acc[95.312] Acc-Avg[95.597]
Epoch[8] Batch[20/195] Loss[0.1307] Loss-Avg[0.1080] Acc[93.750] Acc-Avg[95.796]
Epoch[8] Batch[30/195] Loss[0.1582] Loss-Avg[0.1061] Acc[96.094] Acc-Avg[96.018]
Epoch[8] Batch[40/195] Loss[0.1122] Loss-Avg[0.1079] Acc[94.531] Acc-Avg[95.922]
Epoch[8] Batch[50/195] Loss[0.1634] Loss-Avg[0.1118] Acc[91.406] Acc-Avg[95.680]
Epoch[8] Batch[60/195] Loss[0.1511] Loss-Avg[0.1122] Acc[93.750] Acc-Avg[95.607]
Epoch[8] Batch[70/195] Loss[0.0783] Loss-Avg[0.1163] Acc[96.094] Acc-Avg[95.511]
Epoch[8] Batch[80/195] Loss[0.0961] Loss-Avg[0.1203] Acc[95.312] Acc-Avg[95.370]
Epoch[8] Batch[90/195] Loss[0.1775] Loss-Avg[0.1234] Acc[92.969] Acc-Avg[95.252]
Epoch[8] Batch[100/195] Loss[0.1793] Loss-Avg[0.1275] Acc[92.188] Acc-Avg[95.111]
Epoch[8] Batch[110/195] Loss[0.1373] Loss-Avg[0.1289] Acc[95.312] Acc-Avg[95.031]
Epoch[8] Batch[120/195] Loss[0.1941] Loss-Avg[0.1329] Acc[89.844] Acc-Avg[94.867]
Epoch[8] Batch[130/195] Loss[0.1491] Loss-Avg[0.1347] Acc[91.406] Acc-Avg[94.758]
Epoch[8] Batch[140/195] Loss[0.2334] Loss-Avg[0.1370] Acc[90.625] Acc-Avg[94.664]
Epoch[8] Batch[150/195] Loss[0.1627] Loss-Avg[0.1387] Acc[93.750] Acc-Avg[94.614]
Epoch[8] Batch[160/195] Loss[0.1275] Loss-Avg[0.1403] Acc[95.312] Acc-Avg[94.599]
Epoch[8] Batch[170/195] Loss[0.1363] Loss-Avg[0.1435] Acc[95.312] Acc-Avg[94.472]
Epoch[8] Batch[180/195] Loss[0.2409] Loss-Avg[0.1466] Acc[89.062] Acc-Avg[94.298]
Epoch[8] Batch[190/195] Loss[0.2493] Loss-Avg[0.1493] Acc[88.281] Acc-Avg[94.167]
Test Acc[97.600]
Epoch[9] Batch[10/195] Loss[0.0992] Loss-Avg[0.0990] Acc[98.438] Acc-Avg[96.804]
Epoch[9] Batch[20/195] Loss[0.0697] Loss-Avg[0.0979] Acc[99.219] Acc-Avg[96.726]
Epoch[9] Batch[30/195] Loss[0.1330] Loss-Avg[0.1042] Acc[94.531] Acc-Avg[96.346]
Epoch[9] Batch[40/195] Loss[0.1354] Loss-Avg[0.1105] Acc[94.531] Acc-Avg[95.998]
Epoch[9] Batch[50/195] Loss[0.0803] Loss-Avg[0.1165] Acc[99.219] Acc-Avg[95.772]
Epoch[9] Batch[60/195] Loss[0.0860] Loss-Avg[0.1156] Acc[97.656] Acc-Avg[95.863]
Epoch[9] Batch[70/195] Loss[0.0851] Loss-Avg[0.1173] Acc[97.656] Acc-Avg[95.786]
Epoch[9] Batch[80/195] Loss[0.1792] Loss-Avg[0.1197] Acc[92.969] Acc-Avg[95.640]
Epoch[9] Batch[90/195] Loss[0.1557] Loss-Avg[0.1217] Acc[92.969] Acc-Avg[95.596]
Epoch[9] Batch[100/195] Loss[0.1744] Loss-Avg[0.1235] Acc[94.531] Acc-Avg[95.498]
Epoch[9] Batch[110/195] Loss[0.1278] Loss-Avg[0.1237] Acc[94.531] Acc-Avg[95.503]
Epoch[9] Batch[120/195] Loss[0.2796] Loss-Avg[0.1282] Acc[90.625] Acc-Avg[95.319]
Epoch[9] Batch[130/195] Loss[0.1316] Loss-Avg[0.1289] Acc[92.969] Acc-Avg[95.247]
Epoch[9] Batch[140/195] Loss[0.2103] Loss-Avg[0.1323] Acc[89.062] Acc-Avg[95.080]
Epoch[9] Batch[150/195] Loss[0.1881] Loss-Avg[0.1354] Acc[91.406] Acc-Avg[94.893]
Epoch[9] Batch[160/195] Loss[0.1955] Loss-Avg[0.1363] Acc[92.969] Acc-Avg[94.822]
Epoch[9] Batch[170/195] Loss[0.2718] Loss-Avg[0.1400] Acc[87.500] Acc-Avg[94.673]
Epoch[9] Batch[180/195] Loss[0.1067] Loss-Avg[0.1411] Acc[97.656] Acc-Avg[94.618]
Epoch[9] Batch[190/195] Loss[0.1868] Loss-Avg[0.1422] Acc[95.312] Acc-Avg[94.568]
Test Acc[98.204]
Epoch[10] Batch[10/195] Loss[0.0757] Loss-Avg[0.0970] Acc[98.438] Acc-Avg[97.017]
Epoch[10] Batch[20/195] Loss[0.0793] Loss-Avg[0.1009] Acc[97.656] Acc-Avg[96.429]
Epoch[10] Batch[30/195] Loss[0.0422] Loss-Avg[0.0949] Acc[98.438] Acc-Avg[96.623]
Epoch[10] Batch[40/195] Loss[0.0734] Loss-Avg[0.0914] Acc[97.656] Acc-Avg[96.665]
Epoch[10] Batch[50/195] Loss[0.0702] Loss-Avg[0.0916] Acc[97.656] Acc-Avg[96.661]
Epoch[10] Batch[60/195] Loss[0.1281] Loss-Avg[0.0924] Acc[94.531] Acc-Avg[96.670]
Epoch[10] Batch[70/195] Loss[0.1057] Loss-Avg[0.0953] Acc[95.312] Acc-Avg[96.479]
Epoch[10] Batch[80/195] Loss[0.1729] Loss-Avg[0.0957] Acc[92.969] Acc-Avg[96.451]
Epoch[10] Batch[90/195] Loss[0.2266] Loss-Avg[0.1004] Acc[92.969] Acc-Avg[96.223]
Epoch[10] Batch[100/195] Loss[0.0973] Loss-Avg[0.1052] Acc[98.438] Acc-Avg[96.032]
Epoch[10] Batch[110/195] Loss[0.1915] Loss-Avg[0.1093] Acc[89.062] Acc-Avg[95.798]
Epoch[10] Batch[120/195] Loss[0.1304] Loss-Avg[0.1117] Acc[97.656] Acc-Avg[95.771]
Epoch[10] Batch[130/195] Loss[0.1698] Loss-Avg[0.1135] Acc[93.750] Acc-Avg[95.718]
Epoch[10] Batch[140/195] Loss[0.1561] Loss-Avg[0.1176] Acc[92.969] Acc-Avg[95.529]
Epoch[10] Batch[150/195] Loss[0.2374] Loss-Avg[0.1196] Acc[90.625] Acc-Avg[95.478]
Epoch[10] Batch[160/195] Loss[0.1563] Loss-Avg[0.1228] Acc[93.750] Acc-Avg[95.342]
Epoch[10] Batch[170/195] Loss[0.1944] Loss-Avg[0.1252] Acc[89.844] Acc-Avg[95.203]
Epoch[10] Batch[180/195] Loss[0.1595] Loss-Avg[0.1277] Acc[92.969] Acc-Avg[95.058]
Epoch[10] Batch[190/195] Loss[0.2986] Loss-Avg[0.1310] Acc[91.406] Acc-Avg[94.953]
Test Acc[97.640]
--start testing...
Test Acc[97.640]
saving results...
evaluating performance...
************ Overall Performance ************
LSTM text classification Accuracy: 0.95736 +/- None
************ Finish ************
